Date,Open,High,Low,Close,Volume,Adj Close
1991-07-05,251.97,251.97,251.97,251.97,000,180.57
1991-07-03,252.42,252.42,252.42,252.42,000,180.89
1991-07-02,256.09,256.09,256.09,256.09,000,183.52
1991-07-01,259.12,259.12,259.12,259.12,000,185.69
1991-06-28,254.19,254.19,254.19,254.19,000,182.16
1991-06-27,255.25,255.25,255.25,255.25,000,182.92
1991-06-26,252.45,252.45,252.45,252.45,000,180.91
1991-06-25,250.99,250.99,250.99,250.99,000,179.87
1991-06-24,250.88,250.88,250.88,250.88,000,179.79
1991-06-21,260.28,260.28,260.28,260.28,000,186.52
1991-06-20,260.56,260.56,260.56,260.56,000,186.72
1991-06-19,260.27,260.27,260.27,260.27,000,186.52
1991-06-18,265.48,265.48,265.48,265.48,000,190.25
1991-06-17,267.57,267.57,267.57,267.57,000,191.75
1991-06-14,267.80,267.80,267.80,267.80,000,191.91
1991-06-13,264.79,264.79,264.79,264.79,000,189.75
1991-06-12,265.29,265.29,265.29,265.29,000,190.11
1991-06-11,269.25,269.25,269.25,269.25,000,192.95
1991-06-10,268.37,268.37,268.37,268.37,000,192.32
1991-06-07,270.57,270.57,270.57,270.57,000,193.90
1991-06-06,274.21,274.21,274.21,274.21,000,196.51
1991-06-05,277.36,277.36,277.36,277.36,000,198.76
1991-06-04,281.13,281.13,281.13,281.13,000,201.46
1991-06-03,280.93,280.93,280.93,280.93,000,201.32
1991-05-31,279.00,279.00,279.00,279.00,000,199.94
1991-05-30,277.24,277.24,277.24,277.24,000,198.68
1991-05-29,274.36,274.36,274.36,274.36,000,196.61
1991-05-28,273.37,273.37,273.37,273.37,000,195.90
1991-05-24,269.50,269.50,269.50,269.50,000,193.13
1991-05-23,267.17,267.17,267.17,267.17,000,191.46
1991-05-22,265.69,265.69,265.69,265.69,000,190.40
1991-05-21,261.25,261.25,261.25,261.25,000,187.22
1991-05-20,258.62,258.62,258.62,258.62,000,185.33
1991-05-17,260.46,260.46,260.46,260.46,000,186.65
1991-05-16,260.69,260.69,260.69,260.69,000,186.82
1991-05-15,258.11,258.11,258.11,258.11,000,184.97
1991-05-14,266.09,266.09,266.09,266.09,000,190.69
1991-05-13,268.99,268.99,268.99,268.99,000,192.76
1991-05-10,268.71,268.71,268.71,268.71,000,192.56
1991-05-09,271.24,271.24,271.24,271.24,000,194.38
1991-05-08,267.16,267.16,267.16,267.16,000,191.45
1991-05-07,266.24,266.24,266.24,266.24,000,190.79
1991-05-06,267.33,267.33,267.33,267.33,000,191.57
1991-05-03,267.11,267.11,267.11,267.11,000,191.42
1991-05-02,266.51,266.51,266.51,266.51,000,190.99
1991-05-01,264.22,264.22,264.22,264.22,000,189.35
1991-04-30,263.65,263.65,263.65,263.65,000,188.94
1991-04-29,266.14,266.14,266.14,266.14,000,190.72
1991-04-26,271.30,271.30,271.30,271.30,000,194.42
